new_label,source,original_label,original_name
311,cortical,311,7Networks_LH_Limbic_TempPole_9
312,cortical,312,7Networks_LH_Limbic_TempPole_10
313,cortical,313,7Networks_LH_Limbic_TempPole_11
314,cortical,314,7Networks_LH_Limbic_TempPole_12
315,cortical,315,7Networks_LH_Limbic_TempPole_13
316,cortical,316,7Networks_LH_Limbic_TempPole_14
317,cortical,317,7Networks_LH_Limbic_TempPole_15
318,cortical,318,7Networks_LH_Cont_Par_1
319,cortical,319,7Networks_LH_Cont_Par_2
320,cortical,320,7Networks_LH_Cont_Par_3
321,cortical,321,7Networks_LH_Cont_Par_4
322,cortical,322,7Networks_LH_Cont_Par_5
323,cortical,323,7Networks_LH_Cont_Par_6
324,cortical,324,7Networks_LH_Cont_Par_7
325,cortical,325,7Networks_LH_Cont_Par_8
326,cortical,326,7Networks_LH_Cont_Par_9
327,cortical,327,7Networks_LH_Cont_Par_10
328,cortical,328,7Networks_LH_Cont_Par_11
329,cortical,329,7Networks_LH_Cont_Par_12
330,cortical,330,7Networks_LH_Cont_Par_13
331,cortical,331,7Networks_LH_Cont_Par_14
332,cortical,332,7Networks_LH_Cont_Par_15
333,cortical,333,7Networks_LH_Cont_Temp_1
334,cortical,334,7Networks_LH_Cont_Temp_2
335,cortical,335,7Networks_LH_Cont_Temp_3
336,cortical,336,7Networks_LH_Cont_Temp_4
337,cortical,337,7Networks_LH_Cont_PFCd_1
338,cortical,338,7Networks_LH_Cont_PFCl_1
339,cortical,339,7Networks_LH_Cont_PFCl_2
340,cortical,340,7Networks_LH_Cont_PFCl_3
341,cortical,341,7Networks_LH_Cont_PFCl_4
342,cortical,342,7Networks_LH_Cont_PFCl_5
343,cortical,343,7Networks_LH_Cont_PFCl_6
344,cortical,344,7Networks_LH_Cont_PFCl_7
345,cortical,345,7Networks_LH_Cont_PFCl_8
346,cortical,346,7Networks_LH_Cont_PFCl_9
347,cortical,347,7Networks_LH_Cont_PFCl_10
348,cortical,348,7Networks_LH_Cont_PFCl_11
349,cortical,349,7Networks_LH_Cont_PFCl_12
350,cortical,350,7Networks_LH_Cont_PFCl_13
351,cortical,351,7Networks_LH_Cont_PFCl_14
352,cortical,352,7Networks_LH_Cont_PFCl_15
353,cortical,353,7Networks_LH_Cont_PFCl_16
354,cortical,354,7Networks_LH_Cont_PFCl_17
355,cortical,355,7Networks_LH_Cont_PFCl_18
356,cortical,356,7Networks_LH_Cont_PFCl_19
357,cortical,357,7Networks_LH_Cont_PFCl_20
358,cortical,358,7Networks_LH_Cont_OFC_1
359,cortical,359,7Networks_LH_Cont_PFCv_1
360,cortical,360,7Networks_LH_Cont_PFCv_2
361,cortical,361,7Networks_LH_Cont_pCun_1
362,cortical,362,7Networks_LH_Cont_pCun_2
363,cortical,363,7Networks_LH_Cont_pCun_3
364,cortical,364,7Networks_LH_Cont_pCun_4
365,cortical,365,7Networks_LH_Cont_Cing_1
366,cortical,366,7Networks_LH_Cont_Cing_2
367,cortical,367,7Networks_LH_Cont_Cing_3
368,cortical,368,7Networks_LH_Cont_Cing_4
369,cortical,369,7Networks_LH_Cont_Cing_5
370,cortical,370,7Networks_LH_Cont_Cing_6
371,cortical,371,7Networks_LH_Cont_Cing_7
372,cortical,372,7Networks_LH_Cont_Cing_8
373,cortical,373,7Networks_LH_Cont_PFCmp_1
374,cortical,374,7Networks_LH_Cont_PFCmp_2
375,cortical,375,7Networks_LH_Default_Par_1
376,cortical,376,7Networks_LH_Default_Par_2
377,cortical,377,7Networks_LH_Default_Par_3
378,cortical,378,7Networks_LH_Default_Par_4
379,cortical,379,7Networks_LH_Default_Par_5
380,cortical,380,7Networks_LH_Default_Par_6
381,cortical,381,7Networks_LH_Default_Par_7
382,cortical,382,7Networks_LH_Default_Par_8
383,cortical,383,7Networks_LH_Default_Par_9
384,cortical,384,7Networks_LH_Default_Par_10
385,cortical,385,7Networks_LH_Default_Par_11
386,cortical,386,7Networks_LH_Default_Par_12
387,cortical,387,7Networks_LH_Default_Par_13
388,cortical,388,7Networks_LH_Default_Par_14
389,cortical,389,7Networks_LH_Default_Par_15
390,cortical,390,7Networks_LH_Default_Par_16
391,cortical,391,7Networks_LH_Default_Par_17
392,cortical,392,7Networks_LH_Default_Par_18
393,cortical,393,7Networks_LH_Default_Par_19
394,cortical,394,7Networks_LH_Default_Temp_1
395,cortical,395,7Networks_LH_Default_Temp_2
396,cortical,396,7Networks_LH_Default_Temp_3
397,cortical,397,7Networks_LH_Default_Temp_4
398,cortical,398,7Networks_LH_Default_Temp_5
399,cortical,399,7Networks_LH_Default_Temp_6
400,cortical,400,7Networks_LH_Default_Temp_7
401,cortical,401,7Networks_LH_Default_Temp_8
402,cortical,402,7Networks_LH_Default_Temp_9
403,cortical,403,7Networks_LH_Default_Temp_10
404,cortical,404,7Networks_LH_Default_Temp_11
405,cortical,405,7Networks_LH_Default_Temp_12
406,cortical,406,7Networks_LH_Default_Temp_13
407,cortical,407,7Networks_LH_Default_Temp_14
408,cortical,408,7Networks_LH_Default_Temp_15
409,cortical,409,7Networks_LH_Default_Temp_16
410,cortical,410,7Networks_LH_Default_Temp_17
411,cortical,411,7Networks_LH_Default_Temp_18
412,cortical,412,7Networks_LH_Default_Temp_19
413,cortical,413,7Networks_LH_Default_Temp_20
414,cortical,414,7Networks_LH_Default_Temp_21
415,cortical,415,7Networks_LH_Default_Temp_22
416,cortical,416,7Networks_LH_Default_PFC_1
417,cortical,417,7Networks_LH_Default_PFC_2
418,cortical,418,7Networks_LH_Default_PFC_3
419,cortical,419,7Networks_LH_Default_PFC_4
420,cortical,420,7Networks_LH_Default_PFC_5
421,cortical,421,7Networks_LH_Default_PFC_6
422,cortical,422,7Networks_LH_Default_PFC_7
423,cortical,423,7Networks_LH_Default_PFC_8
424,cortical,424,7Networks_LH_Default_PFC_9
425,cortical,425,7Networks_LH_Default_PFC_10
426,cortical,426,7Networks_LH_Default_PFC_11
427,cortical,427,7Networks_LH_Default_PFC_12
428,cortical,428,7Networks_LH_Default_PFC_13
429,cortical,429,7Networks_LH_Default_PFC_14
430,cortical,430,7Networks_LH_Default_PFC_15
431,cortical,431,7Networks_LH_Default_PFC_16
432,cortical,432,7Networks_LH_Default_PFC_17
433,cortical,433,7Networks_LH_Default_PFC_18
434,cortical,434,7Networks_LH_Default_PFC_19
435,cortical,435,7Networks_LH_Default_PFC_20
436,cortical,436,7Networks_LH_Default_PFC_21
437,cortical,437,7Networks_LH_Default_PFC_22
438,cortical,438,7Networks_LH_Default_PFC_23
439,cortical,439,7Networks_LH_Default_PFC_24
440,cortical,440,7Networks_LH_Default_PFC_25
441,cortical,441,7Networks_LH_Default_PFC_26
442,cortical,442,7Networks_LH_Default_PFC_27
443,cortical,443,7Networks_LH_Default_PFC_28
444,cortical,444,7Networks_LH_Default_PFC_29
445,cortical,445,7Networks_LH_Default_PFC_30
446,cortical,446,7Networks_LH_Default_PFC_31
447,cortical,447,7Networks_LH_Default_PFC_32
448,cortical,448,7Networks_LH_Default_PFC_33
449,cortical,449,7Networks_LH_Default_PFC_34
450,cortical,450,7Networks_LH_Default_PFC_35
451,cortical,451,7Networks_LH_Default_PFC_36
452,cortical,452,7Networks_LH_Default_PFC_37
453,cortical,453,7Networks_LH_Default_PFC_38
454,cortical,454,7Networks_LH_Default_PFC_39
455,cortical,455,7Networks_LH_Default_PFC_40
456,cortical,456,7Networks_LH_Default_PFC_41
457,cortical,457,7Networks_LH_Default_PFC_42
458,cortical,458,7Networks_LH_Default_PFC_43
459,cortical,459,7Networks_LH_Default_PFC_44
460,cortical,460,7Networks_LH_Default_PFC_45
461,cortical,461,7Networks_LH_Default_PFC_46
462,cortical,462,7Networks_LH_Default_PFC_47
463,cortical,463,7Networks_LH_Default_PFC_48
464,cortical,464,7Networks_LH_Default_PFC_49
465,cortical,465,7Networks_LH_Default_PFC_50
466,cortical,466,7Networks_LH_Default_pCunPCC_1
467,cortical,467,7Networks_LH_Default_pCunPCC_2
468,cortical,468,7Networks_LH_Default_pCunPCC_3
469,cortical,469,7Networks_LH_Default_pCunPCC_4
470,cortical,470,7Networks_LH_Default_pCunPCC_5
471,cortical,471,7Networks_LH_Default_pCunPCC_6
472,cortical,472,7Networks_LH_Default_pCunPCC_7
473,cortical,473,7Networks_LH_Default_pCunPCC_8
474,cortical,474,7Networks_LH_Default_pCunPCC_9
475,cortical,475,7Networks_LH_Default_pCunPCC_10
476,cortical,476,7Networks_LH_Default_pCunPCC_11
477,cortical,477,7Networks_LH_Default_pCunPCC_12
478,cortical,478,7Networks_LH_Default_pCunPCC_13
479,cortical,479,7Networks_LH_Default_pCunPCC_14
480,cortical,480,7Networks_LH_Default_pCunPCC_15
481,cortical,481,7Networks_LH_Default_pCunPCC_16
482,cortical,482,7Networks_LH_Default_pCunPCC_17
483,cortical,483,7Networks_LH_Default_pCunPCC_18
484,cortical,484,7Networks_LH_Default_pCunPCC_19
485,cortical,485,7Networks_LH_Default_pCunPCC_20
486,cortical,486,7Networks_LH_Default_pCunPCC_21
487,cortical,487,7Networks_LH_Default_pCunPCC_22
488,cortical,488,7Networks_LH_Default_pCunPCC_23
489,cortical,489,7Networks_LH_Default_pCunPCC_24
490,cortical,490,7Networks_LH_Default_pCunPCC_25
491,cortical,491,7Networks_LH_Default_pCunPCC_26
492,cortical,492,7Networks_LH_Default_pCunPCC_27
493,cortical,493,7Networks_LH_Default_pCunPCC_28
494,cortical,494,7Networks_LH_Default_pCunPCC_29
495,cortical,495,7Networks_LH_Default_pCunPCC_30
496,cortical,496,7Networks_LH_Default_pCunPCC_31
497,cortical,497,7Networks_LH_Default_pCunPCC_32
498,cortical,498,7Networks_LH_Default_PHC_1
499,cortical,499,7Networks_LH_Default_PHC_2
500,cortical,500,7Networks_LH_Default_PHC_3
501,cortical,501,7Networks_RH_Vis_1
502,cortical,502,7Networks_RH_Vis_2
503,cortical,503,7Networks_RH_Vis_3
504,cortical,504,7Networks_RH_Vis_4
505,cortical,505,7Networks_RH_Vis_5
506,cortical,506,7Networks_RH_Vis_6
507,cortical,507,7Networks_RH_Vis_7
508,cortical,508,7Networks_RH_Vis_8
509,cortical,509,7Networks_RH_Vis_9
510,cortical,510,7Networks_RH_Vis_10
511,cortical,511,7Networks_RH_Vis_11
512,cortical,512,7Networks_RH_Vis_12
513,cortical,513,7Networks_RH_Vis_13
514,cortical,514,7Networks_RH_Vis_14
515,cortical,515,7Networks_RH_Vis_15
516,cortical,516,7Networks_RH_Vis_16
517,cortical,517,7Networks_RH_Vis_17
518,cortical,518,7Networks_RH_Vis_18
519,cortical,519,7Networks_RH_Vis_19
520,cortical,520,7Networks_RH_Vis_20
521,cortical,521,7Networks_RH_Vis_21
522,cortical,522,7Networks_RH_Vis_22
523,cortical,523,7Networks_RH_Vis_23
524,cortical,524,7Networks_RH_Vis_24
525,cortical,525,7Networks_RH_Vis_25
526,cortical,526,7Networks_RH_Vis_26
527,cortical,527,7Networks_RH_Vis_27
528,cortical,528,7Networks_RH_Vis_28
529,cortical,529,7Networks_RH_Vis_29
530,cortical,530,7Networks_RH_Vis_30
531,cortical,531,7Networks_RH_Vis_31
532,cortical,532,7Networks_RH_Vis_32
